"Time [ms]","PsiD [Wb]","PsiQ [Wb]","Moving1.Torque [NewtonMeter]"
300,0.0453204108299023,0.081193458921521,158.04579241901
301.5625,0.0452236203755224,0.0814757034572999,156.497442183794
303.125,0.0454488778249068,0.0817604836221522,154.83208501599
304.6875,0.0457687605073846,0.0819351921498988,152.956294134364
306.25,0.0460734142546703,0.0818994658707171,152.147036291742
307.8125,0.046330786756018,0.0817987850882542,150.539881327217
309.375,0.0465851089582394,0.0816725723401272,148.586610439948
310.9375,0.0467657286532302,0.0815473369619238,148.300636649661
312.5,0.0470098098161824,0.0814810044586534,148.361732613793
314.0625,0.0472293154548445,0.0814529511062087,148.322138925517
315.625,0.0474786356137333,0.0814628491675753,149.7273270043
317.1875,0.0474956196579392,0.0813806190272533,151.23161535267
318.75,0.0472031416548108,0.0812055402634947,153.65182994412
320.3125,0.0466852819598764,0.0810688768839383,155.353539622042
321.875,0.0461155825318219,0.0810439696059153,156.278624936807
323.4375,0.0456298478217919,0.0810602338950786,157.692944708373
325,0.0453211601098308,0.0811747967924483,157.757382709462
326.5625,0.0452167096218143,0.0814561466185835,156.270795400126
328.125,0.0454475275367705,0.0817417351709278,154.776909706525
329.6875,0.045770006741766,0.0819201211252949,152.658375413502
331.25,0.0460749727373656,0.0818841105547187,152.161585367692
332.812500000001,0.0463335462968169,0.0817819067788559,150.400109481148
334.375000000001,0.0465869595563835,0.0816545488424771,148.463493645451
335.937500000001,0.0467646282782248,0.0815293258826228,148.385505938322
337.500000000001,0.0470063207781432,0.081459028606998,148.276288417519
339.062500000001,0.0472209267934148,0.0814388965904006,148.339406431423
340.625000000001,0.0474700601225059,0.0814455129534663,149.731633204065
342.187500000001,0.0474876862658833,0.0813684752488518,151.16814998129
343.750000000001,0.0471987178762502,0.0811960012802777,153.563257724011
345.312500000001,0.0466789540620098,0.0810601768860463,155.298404821865
346.875000000001,0.0461141400411883,0.0810355232639005,156.244221886072
348.437500000001,0.0456262906908276,0.0810573093588523,157.6079813027
350.000000000001,0.0453152586294939,0.0811813066915465,157.949756225071
351.562500000001,0.0452151602719966,0.0814567502546928,156.194567843249
353.125000000001,0.0454430061119623,0.081745888852044,154.816229147975
354.687500000001,0.045766096097855,0.0819256933633104,152.917670366503
356.250000000001,0.0460696322358847,0.0818820516996122,151.982029284803
357.812500000001,0.0463246886298118,0.0817923054933171,150.537330528749
359.375000000001,0.0465782403259236,0.0816666102264675,148.542042287108
360.937500000001,0.0467614290289967,0.0815377354488848,148.266986893785
362.500000000001,0.0470030565724761,0.081468841524918,148.377397419297
364.062500000001,0.047219804912009,0.0814518751466872,148.270097195878
365.625000000001,0.0474642681140096,0.0814569209001114,149.739262987223
367.187500000001,0.0474900658361844,0.0813786638345918,151.22243413884
368.750000000001,0.0472004738084779,0.0812077680878354,153.566924827455
370.312500000001,0.0466785588946924,0.0810715921807855,155.446229855198
371.875000000001,0.046117420784763,0.0810439074471808,156.390998239946
373.437500000001,0.0456311488624427,0.0810724634898956,157.620346043439
375.000000000001,0.0453183479155931,0.081189555389821,158.041862737548
376.562500000001,0.0452206523867138,0.0814683014060576,156.485952409398
378.125000000001,0.0454542161646875,0.0817573763137245,154.822550719376
379.687500000001,0.0457744608167505,0.0819385495881401,152.959902247746
381.250000000001,0.0460759094807319,0.081899421436734,152.143793171159
382.812500000001,0.0463361659039629,0.0818006792305414,150.541842818491
384.375000000001,0.0465857710362364,0.0816740399333378,148.591863191201
385.937500000001,0.046767544926348,0.0815487775413874,148.305058145265
387.500000000001,0.0470101335298994,0.0814799481536094,148.360480852554
389.062500000001,0.0472283378123659,0.0814515596499866,148.319230248291
390.625000000001,0.0474768263303123,0.0814591769103877,149.726843841422
392.187500000001,0.0474952399289782,0.0813742672280166,151.2224416704
393.750000000001,0.0472020600122273,0.0812004041084385,153.642406849612
395.312500000001,0.0466857796659393,0.0810649991854001,155.345249757636
396.875000000001,0.0461153410441653,0.0810424923569667,156.279240123213
398.437500000001,0.0456286320559593,0.0810627670767993,157.702401274604
400.000000000001,0.0453219718094498,0.0811860740727941,157.782032247107
401.562500000001,0.0452189982413108,0.0814713477189797,156.308033366901
403.125000000002,0.0454476185963505,0.0817505389200361,154.807722294642
404.687500000002,0.0457677529246807,0.0819301531150153,152.694574475625
406.250000000002,0.0460672714019943,0.0818893818483702,152.189503643705
407.812500000002,0.0463261984949333,0.0817909899412203,150.433395577143
409.375000000002,0.0465773248241179,0.0816666650025122,148.502568859766
410.937500000002,0.0467593099649602,0.0815431843941048,148.425272284783
412.500000000002,0.0470029732912926,0.0814707916974301,148.30642918945
414.062500000002,0.0472195780002738,0.0814496767184912,148.364814730115
415.625000000002,0.0474620214671333,0.0814556860382238,149.766162983351
417.187500000002,0.0474837424790065,0.0813772291682451,151.19727965356
418.750000000002,0.0471938755498415,0.081204696500278,153.58811396948
420.312500000002,0.0466725515748878,0.0810684171494265,155.324425021913
421.875000000002,0.0461076439256578,0.081042611148742,156.270238404366
423.437500000002,0.0456168083859298,0.0810681329366585,157.64274963052
425.000000000002,0.0453070897818141,0.0811879851848226,157.973258098189
426.562500000002,0.045210889437605,0.0814684862776339,156.221285544374
428.125000000002,0.0454405282577302,0.0817470025024638,154.81945157342
429.687500000002,0.0457649250601675,0.0819352888728921,152.933762582309
431.250000000002,0.046071952773216,0.0818957523854818,152.004007934049
432.812500000002,0.046327522649779,0.0817961194851195,150.536950809343
434.375000000002,0.0465820488341926,0.0816727092020113,148.544275774495
435.937500000002,0.0467637883119974,0.0815413752865552,148.268565557521
437.500000000002,0.0470061583884865,0.0814756988934031,148.387259193666
439.062500000002,0.0472200954557479,0.0814550753175373,148.275713926957
440.625000000002,0.0474602982639745,0.0814629431954003,149.751766996358
442.187500000002,0.0474874080516017,0.0813825484503603,151.233450735826
443.750000000002,0.0471983019759821,0.0812098824889325,153.575465305548
445.312500000002,0.0466758181712772,0.0810722123827333,155.452253271802
446.875000000002,0.0461145659338286,0.0810443174631507,156.397913366625
448.437500000002,0.0456302950330479,0.0810692497743338,157.616430740443
450,0.0453192165016483,0.081187170738015,158.036029188418
