"Time [ms]","EddyCurrentLoss(Stator_Lamination_Primitive) [W]","HysteresisLoss(Stator_Lamination_Primitive) [W]"
3,504.307861469293,385.754949657567
3.015625,505.388635829736,386.174138322973
3.03125,505.191547264616,385.961821510759
3.046875,505.004738524582,386.714477894524
3.0625,504.150999385531,386.722684336535
3.078125,500.644187845807,384.40732884146
3.09375,504.528807515243,387.095300392233
3.109375,506.916806190514,387.371613353191
3.125,510.046000302296,388.438512154994
3.140625,511.420235136351,389.82540080204
3.15625,512.365155813439,388.8729327785
3.171875,510.242463855227,388.3664576415
3.1875,506.750740867051,386.667174154387
3.203125,499.041850997535,383.621137519977
3.21875,501.0435475922,383.829559510818
3.234375,500.394692177965,382.065408932192
3.25,506.181230433963,385.306456605627
3.265625,505.389716032906,386.153957244121
3.28125,504.599805710078,385.643230415432
3.296875,504.244938700331,386.346576650937
3.3125,503.915946048334,384.632397661861
3.328125,499.878021927658,382.770081018804
3.34375,505.288135636061,386.164035171299
3.359375,506.658590937631,385.768770288149
3.375,510.176279024771,388.069114159573
3.390625,511.19653753651,388.143188881993
3.40625,511.493981524316,388.347832413643
3.421875,510.849723282201,388.798116512561
3.4375,507.440891834217,386.411536827034
3.453125,501.321949137337,383.741981138258
3.46875,502.10881618528,384.826471222089
3.484375,502.852567974033,384.466436067007
3.5,505.433170269644,384.559842190559
3.515625,505.753032188939,387.162351974537
3.53125,504.626054015664,385.315125889403
3.546875,503.066222967141,385.103378028548
3.5625,504.445107825857,386.072303931351
3.578125,499.248501744383,383.774017592159
3.59375,505.059995912984,386.190145114373
3.609375,505.949192245609,386.364045940514
3.625,509.522064794488,387.643537697233
3.640625,509.719820414479,388.516268342245
3.65625,510.939423534568,387.6719722195
3.671875,509.32557317837,387.137406776979
3.6875,506.292584216237,386.126565090384
3.703125,499.114309417442,383.38553187144
3.71875,500.584403568587,383.122615564347
3.734375,501.884297515684,382.528870446541
3.75,502.546570356606,383.22124614156
3.765625,504.358395245707,384.653326740581
3.78125,503.883184992605,383.535266511214
3.796875,502.767276807153,384.45877645242
3.8125,502.756196614349,384.440116936596
3.828125,499.556233817659,382.711866519902
3.84375,504.129797565081,385.788416931318
3.859375,505.876093626087,385.456384884825
3.875,508.933293482503,387.783223207696
3.890625,510.449590535727,388.302136580511
3.90625,511.094304034779,387.273967212406
3.921875,508.426708221623,387.402736365989
3.9375,506.267264005066,386.109665622225
3.953125,499.1212010664,384.220651107363
3.96875,500.758221667594,383.339138851856
3.984375,501.553346995673,383.802543438032
4,503.414651947214,385.086883105272
4.015625,504.647259633764,386.626520237566
4.03125,503.529926258294,385.427562167532
4.046875,502.670435427901,385.947225751403
4.0625,503.314024787386,385.898286228309
4.078125,499.547890041191,384.017215034349
4.09375,504.18582749427,387.277832569397
4.109375,506.273231414483,386.898130041095
4.125,508.098444627092,388.428823995523
4.140625,511.491209147449,390.101545220602
4.15625,510.33243567051,388.334904953336
4.171875,508.908929707395,388.551550442832
4.1875,506.634856801242,386.754208014861
4.203125,500.992582628414,385.193160762859
4.21875,500.518897200835,384.230647437082
4.234375,501.797625068344,384.236706200917
4.25,503.45497152899,384.228734345445
4.265625,504.399757118355,386.988981694761
4.28125,503.37836625947,385.365545536985
4.296875,501.83310970956,384.952225502192
4.3125,502.501427144308,383.842554253643
4.328125,497.977658882643,382.686459602512
4.34375,504.061180050453,386.317044847379
4.359375,505.203344778258,386.312964385213
4.375,509.468211506054,388.761109177651
4.390625,509.791072054569,388.872867230338
4.40625,511.55466987523,389.356581655153
4.421875,509.092926729177,388.71216630679
4.4375,505.254602524746,386.329205976261
4.453125,500.400931388579,385.057735528819
4.46875,501.135702013673,384.154968254563
4.484375,503.148692788315,385.188013042562
4.5,503.98626010241,384.400111446349
