"Iq_Set []","Time [ms]","PsiQ [Wb]"
0,3,-0.000873747093899736
0,3.015625,-0.000724363911179216
0,3.03125,-0.000613402033008438
0,3.046875,-0.000533843677462629
0,3.0625,-0.00047329164286578
0,3.078125,-0.000458908522260409
0,3.09375,-0.000531828451407044
0,3.109375,-0.000674880523817339
0,3.125,-0.000840576607367538
0,3.140625,-0.00101008593712669
0,3.15625,-0.00116103713191677
0,3.171875,-0.00125303998074562
0,3.1875,-0.00125246294147009
0,3.203125,-0.00119583948252909
0,3.21875,-0.00112111645827054
0,3.234375,-0.00101191753155153
0,3.25,-0.000865730392918014
0,3.265625,-0.00071414204699307
0,3.28125,-0.00060025054588219
0,3.296875,-0.000518751282025454
0,3.3125,-0.000460380587525733
0,3.328125,-0.000445595188258444
0,3.34375,-0.000515832683734697
0,3.359375,-0.000658243829078318
0,3.375,-0.000822397467747538
0,3.390625,-0.00098620902636435
0,3.40625,-0.00114439304413873
0,3.421875,-0.00123240821033252
0,3.4375,-0.0012347165258491
0,3.453125,-0.00118058842704904
0,3.46875,-0.00110438183482513
0,3.484375,-0.00099646245502046
0,3.5,-0.00085271364250062
0,3.515625,-0.000702269025945365
0,3.53125,-0.000588931327439879
0,3.546875,-0.000511676772790112
0,3.5625,-0.000448122690339676
0,3.578125,-0.000439630414510563
0,3.59375,-0.000509507103755831
0,3.609375,-0.000655037854633802
0,3.625,-0.00082191762274796
0,3.640625,-0.000988245794175514
0,3.65625,-0.00114445452598831
0,3.671875,-0.00123461118966435
0,3.6875,-0.00123463199466108
0,3.703125,-0.00117886855155722
0,3.71875,-0.00110191965865284
0,3.734375,-0.000999962796916903
0,3.75,-0.000857677209642548
0,3.765625,-0.000707288136546437
0,3.78125,-0.00059637211744828
0,3.796875,-0.000518645826158603
0,3.8125,-0.000458262432229781
0,3.828125,-0.000446010094673118
0,3.84375,-0.000518572077667798
0,3.859375,-0.000662194466691473
0,3.875,-0.000828828881945994
0,3.890625,-0.00099809795879742
0,3.90625,-0.00115198748119703
0,3.921875,-0.0012446191059257
0,3.9375,-0.00124617643952354
0,3.953125,-0.00119019176450497
0,3.96875,-0.00111420796215228
0,3.984375,-0.00100823735687027
0,4,-0.000866163563062734
0,4.015625,-0.00072020616925268
0,4.03125,-0.000606237436331943
0,4.046875,-0.000526071227110776
0,4.0625,-0.000468946697395445
0,4.078125,-0.00045385573155256
0,4.09375,-0.000527647076188004
0,4.109375,-0.000673104387368552
0,4.125,-0.000840679991228249
0,4.140625,-0.00100771161096318
0,4.15625,-0.00116518613878418
0,4.171875,-0.00125067399764373
0,4.1875,-0.00125545058305295
0,4.203125,-0.00120324104774019
0,4.21875,-0.00112376017609392
0,4.234375,-0.00101480275903183
0,4.25,-0.000874442523330518
0,4.265625,-0.000724647363527518
0,4.28125,-0.000612727700066426
0,4.296875,-0.000533514294912191
0,4.3125,-0.000469103546433464
0,4.328125,-0.000460947574533872
0,4.34375,-0.000532702737457421
0,4.359375,-0.000679132834321032
0,4.375,-0.000845059664054162
0,4.390625,-0.0010085528319706
0,4.40625,-0.00116531717877843
0,4.421875,-0.00125545947913586
0,4.4375,-0.00125700537901905
0,4.453125,-0.00120324269150741
0,4.46875,-0.00112609286047896
0,4.484375,-0.00102110449460405
0,4.5,-0.000878630973345597
5,3,0.00168442612688272
5,3.015625,0.00183312602864679
5,3.03125,0.00194618076012675
5,3.046875,0.00203123223964891
5,3.0625,0.00210259606082617
5,3.078125,0.00211502343896844
5,3.09375,0.00205189476952847
5,3.109375,0.00191004987724685
5,3.125,0.00174049205604354
5,3.140625,0.00157109699350221
5,3.15625,0.00141844185909832
5,3.171875,0.00132640298115767
5,3.1875,0.00132041627233011
5,3.203125,0.00137160371381762
5,3.21875,0.00144546407590528
5,3.234375,0.0015476304355169
5,3.25,0.00169173105742818
5,3.265625,0.00183763921094211
5,3.28125,0.00195825151179051
5,3.296875,0.0020485728044508
5,3.3125,0.00211944074750846
5,3.328125,0.00213192693798977
5,3.34375,0.0020692249280173
5,3.359375,0.00192561943385833
5,3.375,0.00176110955208484
5,3.390625,0.0015954026059964
5,3.40625,0.00143659107000531
5,3.421875,0.0013497352707894
5,3.4375,0.00134002074803776
5,3.453125,0.00138948482135685
5,3.46875,0.00146014874367634
5,3.484375,0.00156467071845752
