"Iq_Set []","Time [ms]","PsiQ [Wb]"
0,300,2.6290015863494E-05
0,301.5625,0.00017249172114286
0,303.125,0.000279855288113334
0,304.6875,0.000358263872753802
0,306.25,0.000417976977550976
0,307.8125,0.000422395460241989
0,309.375,0.000345060507850108
0,310.9375,0.000190384859172846
0,312.5,2.35065640662354E-05
0,314.0625,-0.000144062564004189
0,315.625,-0.000295027153257355
0,317.1875,-0.000373202490191809
0,318.75,-0.000362270861759118
0,320.3125,-0.000304121047181115
0,321.875,-0.000223606565559968
0,323.4375,-0.000120787719888801
0,325,2.60110763945275E-05
0,326.5625,0.000171029646093578
0,328.125,0.000277901692838497
0,329.6875,0.000359634919537525
0,331.25,0.000417618471348399
0,332.812500000001,0.000421353581879123
0,334.375000000001,0.000345428552173475
0,335.937500000001,0.000189787799321837
0,337.500000000001,2.25636444450214E-05
0,339.062500000001,-0.000143757380409374
0,340.625000000001,-0.00029816438984886
0,342.187500000001,-0.000372702049009836
0,343.750000000001,-0.000364178713487614
0,345.312500000001,-0.000306286511178769
0,346.875000000001,-0.000224894800596597
0,348.437500000001,-0.000118524614418492
0,350.000000000001,2.63041144284021E-05
0,351.562500000001,0.00017378566785674
0,353.125000000001,0.00028022107722533
0,354.687500000001,0.000358709976727882
0,356.250000000001,0.000421640922613833
0,357.812500000001,0.000423489022206017
0,359.375000000001,0.000348258070577224
0,360.937500000001,0.000191272934612022
0,362.500000000001,2.40670536524401E-05
0,364.062500000001,-0.000143341857796892
0,365.625000000001,-0.000296287211079623
0,367.187500000001,-0.000371912586970699
0,368.750000000001,-0.000363785357688317
0,370.312500000001,-0.000303850501066708
0,371.875000000001,-0.000223967256758058
0,373.437500000001,-0.000118846014915959
0,375.000000000001,2.6289303742863E-05
0,376.562500000001,0.00017249169818521
0,378.125000000001,0.000279854910676669
0,379.687500000001,0.000358263888498763
0,381.250000000001,0.000417977126242775
0,382.812500000001,0.000422395461120384
0,384.375000000001,0.000345059277579699
0,385.937500000001,0.00019038485680851
0,387.500000000001,2.35065818564884E-05
0,389.062500000001,-0.000144062570253565
0,390.625000000001,-0.000295027532418677
0,392.187500000001,-0.000373202483019829
0,393.750000000001,-0.00036227148053964
0,395.312500000001,-0.000304121049453893
0,396.875000000001,-0.000223606532089315
0,398.437500000001,-0.000120787722464004
0,400.000000000001,2.6011469904104E-05
0,401.562500000001,0.000171029640610388
0,403.125000000002,0.000277901379253319
0,404.687500000002,0.000359634923904326
0,406.250000000002,0.000417618079556317
0,407.812500000002,0.000421353581582402
0,409.375000000002,0.00034542815980768
0,410.937500000002,0.000189787796657249
0,412.500000000002,2.25636695241963E-05
0,414.062500000002,-0.000143757380340254
0,415.625000000002,-0.000298164612930677
0,417.187500000002,-0.000372702041307201
0,418.750000000002,-0.000364178713459631
0,420.312500000002,-0.000306286511181142
0,421.875000000002,-0.000224894800598674
0,423.437500000002,-0.000118524614419233
0,425.000000000002,2.63041144245718E-05
0,426.562500000002,0.000173785667858586
0,428.125000000002,0.000280221077222668
0,429.687500000002,0.000358709976722877
0,431.250000000002,0.000421640922618485
0,432.812500000002,0.000423489022216234
0,434.375000000002,0.000348258070571277
0,435.937500000002,0.000191272934611175
0,437.500000000002,2.40670536523815E-05
0,439.062500000002,-0.000143341857795326
0,440.625000000002,-0.000296287211074508
0,442.187500000002,-0.000371912586971207
0,443.750000000002,-0.000363785357692161
0,445.312500000002,-0.00030385050106854
0,446.875000000002,-0.000223967256758294
0,448.437500000002,-0.000118846014906455
0,450,2.62893037526144E-05
5,300,0.00260958840020546
5,301.5625,0.00275687402441625
5,303.125,0.0028676371196999
5,304.6875,0.00294845867629684
5,306.25,0.00301249728939483
5,307.8125,0.00302297293796507
5,309.375,0.00295050256181911
5,310.9375,0.00279801923543416
5,312.5,0.00263105739007942
5,314.0625,0.00246296032554421
5,315.625,0.00231039535806894
5,317.1875,0.00222728153837074
5,318.75,0.00223174414787793
5,320.3125,0.0022851316174534
5,321.875,0.00236190492661669
5,323.4375,0.00246268096353015
5,325,0.00260914089373292
5,326.5625,0.0027553880897305
5,328.125,0.00286554382939214
5,329.6875,0.00294968826146472
5,331.25,0.0030120238920261
5,332.812500000001,0.00302179404121293
5,334.375000000001,0.00295083714826769
5,335.937500000001,0.00279741927691825
5,337.500000000001,0.00263005390472154
5,339.062500000001,0.00246330590667471
5,340.625000000001,0.00230729144523514
5,342.187500000001,0.00222770409346089
5,343.750000000001,0.00222978450598041
5,345.312500000001,0.00228284907699174
5,346.875000000001,0.00236056650679402
5,348.437500000001,0.00246501583387138
5,350.000000000001,0.0026094821625605
5,351.562500000001,0.00275813815193451
5,353.125000000001,0.00286783159359548
5,354.687500000001,0.00294878456509261
5,356.250000000001,0.00301609977147426
5,357.812500000001,0.00302401001957065
5,359.375000000001,0.00295367415789466
5,360.937500000001,0.00279889277366989
5,362.500000000001,0.00263158748716224
5,364.062500000001,0.00246369345732811
5,365.625000000001,0.00230914498943896
5,367.187500000001,0.00222853908923859
5,368.750000000001,0.00223022365103687
5,370.312500000001,0.00228535842648122
5,371.875000000001,0.00236151818293771
5,373.437500000001,0.00246483360256589
5,375.000000000001,0.00260958777241208
5,376.562500000001,0.00275687400125045
5,378.125000000001,0.00286763669060236
5,379.687500000001,0.00294845868942809
5,381.250000000001,0.00301249741964223
5,382.812500000001,0.00302297293860466
5,384.375000000001,0.00295050120474543
5,385.937500000001,0.00279801923127188
5,387.500000000001,0.00263105744339094
5,389.062500000001,0.00246296031800085
5,390.625000000001,0.00231039502999496
